HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Alias symbols	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:31677	ANO7	anoctamin 7	Approved	gene with protein product	PCANAP5, TMEM16G	NGEP, PCANAP5L, IPCA-5	2q37.3	50636	ENSG00000146205	OTTHUMG00000151702	865	Anoctamins
HGNC:29329	ANO8	anoctamin 8	Approved	gene with protein product	KIAA1623, TMEM16H		19p13.11	57719	ENSG00000074855	OTTHUMG00000182665	865	Anoctamins
HGNC:20679	ANO9	anoctamin 9	Approved	gene with protein product	TP53I5, TMEM16J	PIG5	11p15.5	338440	ENSG00000185101	OTTHUMG00000165446	865	Anoctamins
HGNC:7103	MIP	major intrinsic protein of lens fiber	Approved	gene with protein product		MP26, LIM1, AQP0	12q13.3	4284	ENSG00000135517	OTTHUMG00000170571	305	Aquaporins
HGNC:633	AQP1	aquaporin 1 (Colton blood group)	Approved	gene with protein product	CO	CHIP28	7p14.3	358	ENSG00000240583	OTTHUMG00000023944	305	Aquaporins
HGNC:16029	AQP10	aquaporin 10	Approved	gene with protein product			1q21.3	89872	ENSG00000143595	OTTHUMG00000035980	305	Aquaporins
HGNC:19940	AQP11	aquaporin 11	Approved	gene with protein product		AQPX1	11q14.1	282679	ENSG00000178301	OTTHUMG00000165194	305	Aquaporins
HGNC:19941	AQP12A	aquaporin 12A	Approved	gene with protein product	AQP12		2q37.3	375318	ENSG00000184945	OTTHUMG00000183906	305	Aquaporins
HGNC:6096	AQP12B	aquaporin 12B	Approved	gene with protein product	INSSA3		2q37.3	653437	ENSG00000185176	OTTHUMG00000152263	305	Aquaporins
HGNC:634	AQP2	aquaporin 2	Approved	gene with protein product			12q13.12	359	ENSG00000167580	OTTHUMG00000169709	305	Aquaporins
HGNC:636	AQP3	aquaporin 3 (Gill blood group)	Approved	gene with protein product		GIL	9p13.3	360	ENSG00000165272	OTTHUMG00000019769	305	Aquaporins
HGNC:637	AQP4	aquaporin 4	Approved	gene with protein product		MIWC	18q11.2	361	ENSG00000171885	OTTHUMG00000131955	305	Aquaporins
HGNC:638	AQP5	aquaporin 5	Approved	gene with protein product			12q13.12	362	ENSG00000161798	OTTHUMG00000169710	305	Aquaporins
HGNC:639	AQP6	aquaporin 6	Approved	gene with protein product	AQP2L		12q13.12	363	ENSG00000086159	OTTHUMG00000133548	305	Aquaporins
HGNC:640	AQP7	aquaporin 7	Approved	gene with protein product	AQP7L	AQP9, AQPap	9p13.3	364	ENSG00000165269	OTTHUMG00000019773	305	Aquaporins
HGNC:642	AQP8	aquaporin 8	Approved	gene with protein product			16p12.1	343	ENSG00000103375	OTTHUMG00000097013	305	Aquaporins
HGNC:643	AQP9	aquaporin 9	Approved	gene with protein product		SSC1, HsT17287	15q21.3	366	ENSG00000103569	OTTHUMG00000132631	305	Aquaporins
HGNC:12703	BEST1	bestrophin 1	Approved	gene with protein product	VMD2	BMD, BEST, RP50	11q12.3	7439	ENSG00000167995	OTTHUMG00000167469	866	Bestrophins
HGNC:17107	BEST2	bestrophin 2	Approved	gene with protein product	VMD2L1	FLJ20132	19p13.13	54831	ENSG00000039987	OTTHUMG00000169293	866	Bestrophins
HGNC:17105	BEST3	bestrophin 3	Approved	gene with protein product	VMD2L3	MGC40411, MGC13168	12q15	144453	ENSG00000127325	OTTHUMG00000149919	866	Bestrophins
HGNC:17106	BEST4	bestrophin 4	Approved	gene with protein product	VMD2L2		1p34.1	266675	ENSG00000142959	OTTHUMG00000008488	866	Bestrophins
HGNC:1405	CACNG1	calcium voltage-gated channel auxiliary subunit gamma 1	Approved	gene with protein product	CACNLG		17q24.2	786	ENSG00000108878	OTTHUMG00000179553	1511	Calcium channel auxiliary gamma subunits
HGNC:1406	CACNG2	calcium voltage-gated channel auxiliary subunit gamma 2	Approved	gene with protein product		stargazin, MGC138502, MGC138504	22q12.3	10369	ENSG00000166862	OTTHUMG00000030612	1511	Calcium channel auxiliary gamma subunits
HGNC:1407	CACNG3	calcium voltage-gated channel auxiliary subunit gamma 3	Approved	gene with protein product			16p12.1	10368	ENSG00000006116	OTTHUMG00000131651	1511	Calcium channel auxiliary gamma subunits
HGNC:1408	CACNG4	calcium voltage-gated channel auxiliary subunit gamma 4	Approved	gene with protein product		MGC11138, MGC24983	17q24.2	27092	ENSG00000075461	OTTHUMG00000179550	1511	Calcium channel auxiliary gamma subunits
HGNC:1409	CACNG5	calcium voltage-gated channel auxiliary subunit gamma 5	Approved	gene with protein product			17q24.2	27091	ENSG00000075429	OTTHUMG00000166468	1511	Calcium channel auxiliary gamma subunits
HGNC:13625	CACNG6	calcium voltage-gated channel auxiliary subunit gamma 6	Approved	gene with protein product			19q13.42	59285	ENSG00000130433	OTTHUMG00000064907	1511	Calcium channel auxiliary gamma subunits
HGNC:13626	CACNG7	calcium voltage-gated channel auxiliary subunit gamma 7	Approved	gene with protein product			19q13.42	59284	ENSG00000105605	OTTHUMG00000064852	1511	Calcium channel auxiliary gamma subunits
HGNC:13628	CACNG8	calcium voltage-gated channel auxiliary subunit gamma 8	Approved	gene with protein product			19q13.42	59283	ENSG00000142408	OTTHUMG00000064908	1511	Calcium channel auxiliary gamma subunits
HGNC:1388	CACNA1A	calcium voltage-gated channel subunit alpha1 A	Approved	gene with protein product	CACNL1A4, SCA6, MHP1, MHP	Cav2.1, EA2, APCA, HPCA, FHM	19p13.13	773	ENSG00000141837	OTTHUMG00000044590	1512	Calcium voltage-gated channel alpha1 subunits
HGNC:1389	CACNA1B	calcium voltage-gated channel subunit alpha1 B	Approved	gene with protein product	CACNL1A5	Cav2.2, CACNN	9q34.3	774	ENSG00000148408	OTTHUMG00000021002	1512	Calcium voltage-gated channel alpha1 subunits
HGNC:1390	CACNA1C	calcium voltage-gated channel subunit alpha1 C	Approved	gene with protein product	CCHL1A1, CACNL1A1	Cav1.2, CACH2, CACN2, TS, LQT8	12p13.33	775	ENSG00000151067	OTTHUMG00000150243	1512	Calcium voltage-gated channel alpha1 subunits
HGNC:1391	CACNA1D	calcium voltage-gated channel subunit alpha1 D	Approved	gene with protein product	CCHL1A2, CACNL1A2	Cav1.3, CACH3, CACN4	3p21.1	776	ENSG00000157388	OTTHUMG00000158278	1512	Calcium voltage-gated channel alpha1 subunits
HGNC:1392	CACNA1E	calcium voltage-gated channel subunit alpha1 E	Approved	gene with protein product	CACNL1A6	Cav2.3, BII, CACH6	1q25.3	777	ENSG00000198216	OTTHUMG00000037301	1512	Calcium voltage-gated channel alpha1 subunits
HGNC:1393	CACNA1F	calcium voltage-gated channel subunit alpha1 F	Approved	gene with protein product	CSNB2, AIED	Cav1.4, JM8, JMC8, CSNBX2, CORDX3, CSNB2A, OA2	Xp11.23	778	ENSG00000102001	OTTHUMG00000022703	1512	Calcium voltage-gated channel alpha1 subunits
HGNC:1394	CACNA1G	calcium voltage-gated channel subunit alpha1 G	Approved	gene with protein product		Cav3.1, NBR13	17q21.33	8913	ENSG00000006283	OTTHUMG00000162180	1512	Calcium voltage-gated channel alpha1 subunits
HGNC:1395	CACNA1H	calcium voltage-gated channel subunit alpha1 H	Approved	gene with protein product		Cav3.2	16p13.3	8912	ENSG00000196557	OTTHUMG00000172992	1512	Calcium voltage-gated channel alpha1 subunits
HGNC:1396	CACNA1I	calcium voltage-gated channel subunit alpha1 I	Approved	gene with protein product		Cav3.3	22q13.1	8911	ENSG00000100346	OTTHUMG00000151096	1512	Calcium voltage-gated channel alpha1 subunits
HGNC:1397	CACNA1S	calcium voltage-gated channel subunit alpha1 S	Approved	gene with protein product	HOKPP, MHS5, CACNL1A3	Cav1.1, hypoPP	1q32.1	779	ENSG00000081248	OTTHUMG00000035784	1512	Calcium voltage-gated channel alpha1 subunits
HGNC:1399	CACNA2D1	calcium voltage-gated channel auxiliary subunit alpha2delta 1	Approved	gene with protein product	CACNL2A, CACNA2, MHS3, LINC01112	lncRNA-N3	7q21.11	781	ENSG00000153956	OTTHUMG00000023622	1514	Calcium voltage-gated channel auxiliary alpha2delta subunits
HGNC:1400	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2	Approved	gene with protein product		KIAA0558	3p21.31	9254	ENSG00000007402	OTTHUMG00000156887	1514	Calcium voltage-gated channel auxiliary alpha2delta subunits
HGNC:15460	CACNA2D3	calcium voltage-gated channel auxiliary subunit alpha2delta 3	Approved	gene with protein product		HSA272268	3p21.1-p14.3	55799	ENSG00000157445	OTTHUMG00000158580	1514	Calcium voltage-gated channel auxiliary alpha2delta subunits
HGNC:20202	CACNA2D4	calcium voltage-gated channel auxiliary subunit alpha2delta 4	Approved	gene with protein product			12p13.33	93589	ENSG00000151062	OTTHUMG00000168111	1514	Calcium voltage-gated channel auxiliary alpha2delta subunits
HGNC:1401	CACNB1	calcium voltage-gated channel auxiliary subunit beta 1	Approved	gene with protein product	CACNLB1		17q12	782	ENSG00000067191	OTTHUMG00000133217	1515	Calcium voltage-gated channel auxiliary beta subunits
HGNC:1402	CACNB2	calcium voltage-gated channel auxiliary subunit beta 2	Approved	gene with protein product	MYSB, CACNLB2		10p12	783	ENSG00000165995	OTTHUMG00000017764	1515	Calcium voltage-gated channel auxiliary beta subunits
HGNC:1403	CACNB3	calcium voltage-gated channel auxiliary subunit beta 3	Approved	gene with protein product	CACNLB3		12q13.12	784	ENSG00000167535	OTTHUMG00000170398	1515	Calcium voltage-gated channel auxiliary beta subunits
HGNC:1404	CACNB4	calcium voltage-gated channel auxiliary subunit beta 4	Approved	gene with protein product		EJM4	2q23.3	785	ENSG00000182389	OTTHUMG00000155091	1515	Calcium voltage-gated channel auxiliary beta subunits
HGNC:17116	CATSPER1	cation channel sperm associated 1	Approved	gene with protein product		CATSPER	11q13.1	117144	ENSG00000175294	OTTHUMG00000166668	186	Cation channels sperm associated 
HGNC:18810	CATSPER2	cation channel sperm associated 2	Approved	gene with protein product			15q15.3	117155	ENSG00000166762	OTTHUMG00000059902	186	Cation channels sperm associated 
HGNC:20819	CATSPER3	cation channel sperm associated 3	Approved	gene with protein product		CACRC	5q31.1	347732	ENSG00000152705	OTTHUMG00000129137	186	Cation channels sperm associated 
HGNC:23220	CATSPER4	cation channel sperm associated 4	Approved	gene with protein product			1p36.11	378807	ENSG00000188782	OTTHUMG00000003383	186	Cation channels sperm associated 
HGNC:20500	CATSPERB	cation channel sperm associated auxiliary subunit beta	Approved	gene with protein product	C14orf161	FLJ14298	14q32.12	79820	ENSG00000133962	OTTHUMG00000171118	186	Cation channels sperm associated 
HGNC:28598	CATSPERD	cation channel sperm associated auxiliary subunit delta	Approved	gene with protein product	TMEM146	MGC39581	19p13.3	257062	ENSG00000174898	OTTHUMG00000143036	186	Cation channels sperm associated 
HGNC:28491	CATSPERE	catsper channel auxiliary subunit epsilon	Approved	gene with protein product	C1orf101	MGC33370	1q44	257044	ENSG00000179397	OTTHUMG00000040103	186	Cation channels sperm associated 
HGNC:25243	CATSPERG	cation channel sperm associated auxiliary subunit gamma	Approved	gene with protein product	C19orf15	DKFZp434A1022, FLJ46353	19q13.2	57828	ENSG00000099338	OTTHUMG00000153223	186	Cation channels sperm associated 
HGNC:19231	CATSPERZ	catsper channel auxiliary subunit zeta	Approved	gene with protein product	C11orf20, TEX40	DKFZP566E164	11q13.1	25858	ENSG00000219435	OTTHUMG00000167820	186	Cation channels sperm associated 
HGNC:1884	CFTR	CF transmembrane conductance regulator	Approved	gene with protein product	CF, ABCC7	MRP7, ABC35, TNR-CFTR, dJ760C5.1, CFTR/MRP	7q31.2	1080	ENSG00000001626	OTTHUMG00000023076	309	Chloride channels, ATP-gated CFTR
HGNC:2062	CLIC1	chloride intracellular channel 1	Approved	gene with protein product		NCC27, p64CLCP, G6, CLCNL1	6p21.33	1192	ENSG00000213719	OTTHUMG00000031103	307	Chloride intracellular channels
HGNC:2063	CLIC2	chloride intracellular channel 2	Approved	gene with protein product		XAP121, CLCNL2	Xq28	1193	ENSG00000155962	OTTHUMG00000022660	307	Chloride intracellular channels
HGNC:2064	CLIC3	chloride intracellular channel 3	Approved	gene with protein product			9q34.3	9022	ENSG00000169583	OTTHUMG00000020954	307	Chloride intracellular channels
HGNC:13518	CLIC4	chloride intracellular channel 4	Approved	gene with protein product		DKFZP566G223, CLIC4L, P64H1, H1, huH1, p64H1	1p36.11	25932	ENSG00000169504	OTTHUMG00000003327	307	Chloride intracellular channels
HGNC:13517	CLIC5	chloride intracellular channel 5	Approved	gene with protein product		DFNB102	6p21.1	53405	ENSG00000112782	OTTHUMG00000014775	307	Chloride intracellular channels
HGNC:2065	CLIC6	chloride intracellular channel 6	Approved	gene with protein product	CLIC1L	CLIC5	21q22.12	54102	ENSG00000159212	OTTHUMG00000086237	307	Chloride intracellular channels
HGNC:2019	CLCN1	chloride voltage-gated channel 1	Approved	gene with protein product		CLC1, ClC-1	7q34	1180	ENSG00000188037	OTTHUMG00000152695	302	Chloride voltage-gated channels
HGNC:2020	CLCN2	chloride voltage-gated channel 2	Approved	gene with protein product		CLC2, EJM6, ClC-2	3q27.1	1181	ENSG00000114859	OTTHUMG00000156747	302	Chloride voltage-gated channels
HGNC:2021	CLCN3	chloride voltage-gated channel 3	Approved	gene with protein product		CLC3, ClC-3	4q33	1182	ENSG00000109572	OTTHUMG00000160973	302	Chloride voltage-gated channels
HGNC:2022	CLCN4	chloride voltage-gated channel 4	Approved	gene with protein product		CLC4, ClC-4	Xp22.2	1183	ENSG00000073464	OTTHUMG00000021125	302	Chloride voltage-gated channels
HGNC:2023	CLCN5	chloride voltage-gated channel 5	Approved	gene with protein product	NPHL2, NPHL1	DENTS, XLRH, hClC-K2, hCIC-K2, CLC5, XRN, ClC-5	Xp11.23	1184	ENSG00000171365	OTTHUMG00000021514	302	Chloride voltage-gated channels
HGNC:2024	CLCN6	chloride voltage-gated channel 6	Approved	gene with protein product		CLC-6, KIAA0046, ClC-6	1p36.22	1185	ENSG00000011021	OTTHUMG00000002299	302	Chloride voltage-gated channels
HGNC:2025	CLCN7	chloride voltage-gated channel 7	Approved	gene with protein product		CLC-7, OPTA2, CLC7, ClC-7, PPP1R63	16p13.3	1186	ENSG00000103249	OTTHUMG00000044467	302	Chloride voltage-gated channels
HGNC:2026	CLCNKA	chloride voltage-gated channel Ka	Approved	gene with protein product		hClC-Ka	1p36.13	1187	ENSG00000186510	OTTHUMG00000009529	302	Chloride voltage-gated channels
HGNC:2027	CLCNKB	chloride voltage-gated channel Kb	Approved	gene with protein product		hClC-Kb	1p36.13	1188	ENSG00000184908	OTTHUMG00000009530	302	Chloride voltage-gated channels
HGNC:16512	BSND	barttin CLCNK type accessory subunit beta	Approved	gene with protein product	DFNB73	BART	1p32.3	7809	ENSG00000162399	OTTHUMG00000008112	302	Chloride voltage-gated channels
HGNC:1955	CHRNA1	cholinergic receptor nicotinic alpha 1 subunit	Approved	gene with protein product	CHRNA		2q31.1	1134	ENSG00000138435	OTTHUMG00000132357	173	Cholinergic receptors nicotinic subunits
HGNC:13800	CHRNA10	cholinergic receptor nicotinic alpha 10 subunit	Approved	gene with protein product			11p15.4	57053	ENSG00000129749	OTTHUMG00000011844	173	Cholinergic receptors nicotinic subunits
HGNC:1956	CHRNA2	cholinergic receptor nicotinic alpha 2 subunit	Approved	gene with protein product			8p21.2	1135	ENSG00000120903	OTTHUMG00000102083	173	Cholinergic receptors nicotinic subunits
HGNC:1957	CHRNA3	cholinergic receptor nicotinic alpha 3 subunit	Approved	gene with protein product			15q25.1	1136	ENSG00000080644	OTTHUMG00000143863	173	Cholinergic receptors nicotinic subunits
HGNC:1958	CHRNA4	cholinergic receptor nicotinic alpha 4 subunit	Approved	gene with protein product	EBN, EBN1	BFNC	20q13.33	1137	ENSG00000101204	OTTHUMG00000033080	173	Cholinergic receptors nicotinic subunits
HGNC:1959	CHRNA5	cholinergic receptor nicotinic alpha 5 subunit	Approved	gene with protein product			15q25.1	1138	ENSG00000169684	OTTHUMG00000143858	173	Cholinergic receptors nicotinic subunits
HGNC:15963	CHRNA6	cholinergic receptor nicotinic alpha 6 subunit	Approved	gene with protein product			8p11.21	8973	ENSG00000147434	OTTHUMG00000165275	173	Cholinergic receptors nicotinic subunits
HGNC:1960	CHRNA7	cholinergic receptor nicotinic alpha 7 subunit	Approved	gene with protein product			15q13.3	1139	ENSG00000175344	OTTHUMG00000129285	173	Cholinergic receptors nicotinic subunits
HGNC:14079	CHRNA9	cholinergic receptor nicotinic alpha 9 subunit	Approved	gene with protein product		NACHRA9	4p14	55584	ENSG00000174343	OTTHUMG00000099375	173	Cholinergic receptors nicotinic subunits
HGNC:1961	CHRNB1	cholinergic receptor nicotinic beta 1 subunit	Approved	gene with protein product	CHRNB		17p13.1	1140	ENSG00000170175	OTTHUMG00000108139	173	Cholinergic receptors nicotinic subunits
HGNC:1962	CHRNB2	cholinergic receptor nicotinic beta 2 subunit	Approved	gene with protein product			1q21.3	1141	ENSG00000160716	OTTHUMG00000037262	173	Cholinergic receptors nicotinic subunits
HGNC:1963	CHRNB3	cholinergic receptor nicotinic beta 3 subunit	Approved	gene with protein product			8p11.21	1142	ENSG00000147432	OTTHUMG00000165262	173	Cholinergic receptors nicotinic subunits
HGNC:1964	CHRNB4	cholinergic receptor nicotinic beta 4 subunit	Approved	gene with protein product			15q25.1	1143	ENSG00000117971	OTTHUMG00000143860	173	Cholinergic receptors nicotinic subunits
HGNC:1965	CHRND	cholinergic receptor nicotinic delta subunit	Approved	gene with protein product	ACHRD		2q37.1	1144	ENSG00000135902	OTTHUMG00000133261	173	Cholinergic receptors nicotinic subunits
HGNC:1966	CHRNE	cholinergic receptor nicotinic epsilon subunit	Approved	gene with protein product		ACHRE	17p13.2	1145	ENSG00000108556	OTTHUMG00000090778	173	Cholinergic receptors nicotinic subunits
HGNC:1967	CHRNG	cholinergic receptor nicotinic gamma subunit	Approved	gene with protein product	ACHRG		2q37.1	1146	ENSG00000196811	OTTHUMG00000153327	173	Cholinergic receptors nicotinic subunits
HGNC:2148	CNGA1	cyclic nucleotide gated channel subunit alpha 1	Approved	gene with protein product	CNCG1, CNCG	RCNC1, RCNCa, CNG1, RP49	4p12	1259	ENSG00000198515	OTTHUMG00000160668	250	Cyclic nucleotide gated channels
HGNC:2149	CNGA2	cyclic nucleotide gated channel subunit alpha 2	Approved	gene with protein product	CNCA1, CNCA	CNG2, OCNC1, OCNCa, OCNCALPHA, OCNCalpha, FLJ46312	Xq28	1260	ENSG00000183862	OTTHUMG00000024173	250	Cyclic nucleotide gated channels
HGNC:2150	CNGA3	cyclic nucleotide gated channel subunit alpha 3	Approved	gene with protein product	CNCG3, ACHM2	CCNC1, CCNCa, CNG3	2q11.2	1261	ENSG00000144191	OTTHUMG00000130561	250	Cyclic nucleotide gated channels
HGNC:2152	CNGA4	cyclic nucleotide gated channel subunit alpha 4	Approved	gene with protein product	CNCA2, CNGB2	OCNC2, OCNCb, CNG5	11p15.4	1262	ENSG00000132259	OTTHUMG00000165379	250	Cyclic nucleotide gated channels
HGNC:2151	CNGB1	cyclic nucleotide gated channel subunit beta 1	Approved	gene with protein product	CNCG2, CNCG3L	RCNC2, RCNCb, GARP, GAR1, CNGB1B, RP45	16q21	1258	ENSG00000070729	OTTHUMG00000154810	250	Cyclic nucleotide gated channels
HGNC:2153	CNGB3	cyclic nucleotide gated channel subunit beta 3	Approved	gene with protein product	ACHM3, ACHM1, RMCH		8q21.3	54714	ENSG00000170289	OTTHUMG00000163738	250	Cyclic nucleotide gated channels
HGNC:4845	HCN1	hyperpolarization activated cyclic nucleotide gated potassium channel 1	Approved	gene with protein product	BCNG1	BCNG-1, HAC-2	5p12	348980	ENSG00000164588	OTTHUMG00000131155	250	Cyclic nucleotide gated channels
HGNC:4846	HCN2	hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2	Approved	gene with protein product	BCNG2	BCNG-2, HAC-1	19p13.3	610	ENSG00000099822	OTTHUMG00000180590	250	Cyclic nucleotide gated channels
HGNC:19183	HCN3	hyperpolarization activated cyclic nucleotide gated potassium channel 3	Approved	gene with protein product		KIAA1535	1q22	57657	ENSG00000143630	OTTHUMG00000035872	250	Cyclic nucleotide gated channels
HGNC:16882	HCN4	hyperpolarization activated cyclic nucleotide gated potassium channel 4	Approved	gene with protein product			15q24.1	10021	ENSG00000138622	OTTHUMG00000137563	250	Cyclic nucleotide gated channels
HGNC:4075	GABRA1	gamma-aminobutyric acid type A receptor subunit alpha1	Approved	gene with protein product		EJM5	5q34	2554	ENSG00000022355	OTTHUMG00000163586	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4076	GABRA2	gamma-aminobutyric acid type A receptor subunit alpha2	Approved	gene with protein product			4p12	2555	ENSG00000151834	OTTHUMG00000044266	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4077	GABRA3	gamma-aminobutyric acid type A receptor subunit alpha3	Approved	gene with protein product			Xq28	2556	ENSG00000011677	OTTHUMG00000024183	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4078	GABRA4	gamma-aminobutyric acid type A receptor subunit alpha4	Approved	gene with protein product			4p12	2557	ENSG00000109158	OTTHUMG00000099431	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4079	GABRA5	gamma-aminobutyric acid type A receptor subunit alpha5	Approved	gene with protein product			15q12	2558	ENSG00000186297	OTTHUMG00000171824	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4080	GABRA6	gamma-aminobutyric acid type A receptor subunit alpha6	Approved	gene with protein product			5q34	2559	ENSG00000145863	OTTHUMG00000130351	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4081	GABRB1	gamma-aminobutyric acid type A receptor subunit beta1	Approved	gene with protein product			4p12	2560	ENSG00000163288	OTTHUMG00000044269	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4082	GABRB2	gamma-aminobutyric acid type A receptor subunit beta2	Approved	gene with protein product			5q34	2561	ENSG00000145864	OTTHUMG00000130349	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4083	GABRB3	gamma-aminobutyric acid type A receptor subunit beta3	Approved	gene with protein product			15q12	2562	ENSG00000166206	OTTHUMG00000129231	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4084	GABRD	gamma-aminobutyric acid type A receptor subunit delta	Approved	gene with protein product			1p36.33	2563	ENSG00000187730	OTTHUMG00000041064	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4085	GABRE	gamma-aminobutyric acid type A receptor subunit epsilon	Approved	gene with protein product			Xq28	2564	ENSG00000102287	OTTHUMG00000024176	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4086	GABRG1	gamma-aminobutyric acid type A receptor subunit gamma1	Approved	gene with protein product			4p12	2565	ENSG00000163285	OTTHUMG00000128609	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4087	GABRG2	gamma-aminobutyric acid type A receptor subunit gamma2	Approved	gene with protein product			5q34	2566	ENSG00000113327	OTTHUMG00000130350	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4088	GABRG3	gamma-aminobutyric acid type A receptor subunit gamma3	Approved	gene with protein product			15q12	2567	ENSG00000182256	OTTHUMG00000044462	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4089	GABRP	gamma-aminobutyric acid type A receptor subunit pi	Approved	gene with protein product			5q35.1	2568	ENSG00000094755	OTTHUMG00000130443	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:14454	GABRQ	gamma-aminobutyric acid type A receptor subunit theta	Approved	gene with protein product			Xq28	55879	ENSG00000268089	OTTHUMG00000022649	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4090	GABRR1	gamma-aminobutyric acid type A receptor subunit rho1	Approved	gene with protein product			6q15	2569	ENSG00000146276	OTTHUMG00000015195	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:4091	GABRR2	gamma-aminobutyric acid type A receptor subunit rho2	Approved	gene with protein product			6q15	2570	ENSG00000111886	OTTHUMG00000015198	563	Gamma-aminobutyric acid type A receptor subunits
HGNC:17969	GABRR3	gamma-aminobutyric acid type A receptor subunit rho3	Approved	gene with protein product			3q11.2	200959	ENSG00000183185	OTTHUMG00000159135	563	Gamma-aminobutyric acid type A receptor subunits
